jackpot,title,bonus,coins_range,volatility,slot_reels,software
Video Slot,Dracula Touch Slot Review,10 Free Spins / Stacked symbols on every spin,0.01 - 1.00,Low/Medium,5 Reels / 40 Paylines,Mobile Video Slot by NetEnt
Video Slot,Big Bad Wolf Slot Review,Starts with 10 Free Spins / Build up to a 2x Multiplier,0.01 - 5.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Quickspin
Video Slot,Sevens High Slot Review,"Free Re-Spins, Free Spins, Extra Wilds",0.01 - 4.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Quickspin
Video Slot,Gorilla Go Wild Slot Review,10 Free Spins with Multiplier & Wilds,0.01 - 2.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Miss White Slot Review,"End2End symbols, free spins",0.01 - 30,Low,5 Reels / 1024 Ways to Win,Mobile Video Slot by IGT
5 Reels / 20 Paylines,Amazon Queen Slot Review,,0.20 / 60,0.01 - 3.00,4.06%,Mobile Video Slot by WMS
5 Reels / 25 Paylines,The Oddventurers Slot Review,,0.25 / 25,0.01 - 1.00,3.94%,Mobile Video Slot
Video Slot,White King Slot Review,"Stacked Wilds, Free Spins, Scatter",0.40 / 16,0.01 - 0.40,5 Reels / 40 Paylines,Mobile Video Slot by Playtech
Jackpot changes according to your bet level,Super Lucky Reels Slot Review,"Instant cash, Extra Multiplier, Free Spins",Technically 0.05 but really 0.75  / 75,0.01 - 1.00,5 Reels / 5 Paylines,Mobile Classic Slot by iSoftBet
Video Slot,Tower Quest Slot Review,5 Free Spins / With Special Wilds,0.01 - 1.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Epic City Slot Review,"Click Me Bonus, Free Spins, Wilds, Scatters",0.01 - 1.00,Low,5 Reels / 20 Paylines,Mobile Video Slot
Video Slot,Natural Powers Slot Review,5 - 15 Free Spins / 10x - 2x Multipliers,0.01 - 3.00,Low/Medium,5 Reels / 40 Paylines,Mobile Video Slot by IGT
Video Slot,Boogie Monsters Slot Review,"Wilds, Scatter, Free Spins, Click Me Bonus, Multipliers",0.40 / 200,0.01 - 0.50,5 Reels / 40 Paylines,Mobile Video Slot by Microgaming
5 Reels / 40 Paylines,Magic Mushrooms Slot Review,,0.40 / 20,0.01 - 0.50,3.6%,Mobile Video Slot by Yggdrasil
Video Slot,Rhyming Reels: Georgie Porgie Slot Review,Up to 25 Free Spins / 5x Multipliers,0.01 - 0.10,Medium,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
Video Slot,Vegas Party Slot Review,No free spins / no multiplier,0.01 - 0.05,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by NetEnt
Video Slot,MegaJackpots Cleopatra Slot Review,15 Free Spins / 3X Multiplier,Medium,11.02 - 6.97%,Over 1 million in cash,Mobile Video Slot by IGT
5 Reels / 15 Paylines,Best of British Slot Review,,0.15 / 15,0.01 - 1.00,3.4%,Mobile Video Slot by Nektan
5 Reels / 20 Paylines,Elf & Safety Slot Review,Free Spins & Wilds,"0.20 / 1,000",0.01 - 50,4.54%,Mobile Video Slot by Nektan
Video Slot,Lucky Leprechaun Slot Review,Starts at 5 free spins / Starts at 2x Multiplier,0.01 - 0.10,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Microgaming
Video Slot,Ooh Aah Dracula Slot Review,Up to 15 Free Spins / Extra Wild Symbols,0.01 - 50.00,Medium,5 Reels / 10 Paylines,Mobile Video Slot by Barcrest
Video Slot,Aloha Island Slot Review,5 Free Spins / Richer Reels,0.01 - 10.00,Low/Medium,5 Reels / 50 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Easter Eggs Slot Review,Up to 10 / Up to 6x Multiplier,0.01 - 1.00,Low,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
5 Reels / 50 Paylines,Bruce Lee Slot Review,"Stacked wilds, scatters, expanded wilds, free spins,",0.30 / 60,0.01 - 2.00,3.96%,Mobile Video Slot by WMS
Video Slot,Castle Builder Slot Review,"Build Castles, Pick Suitors, Get Instant Cash",0.05 - 2.00,Low,3.53,Mobile Video Slot
Video Slot,Spinata Grande Slot Review,5 Free Spins + Collossal Wilds / No Multipliers,0.01 - 1.00,Low/Medium,5 Reels / 40 Paylines,Mobile Video Slot by NetEnt
Video Slot,50 Dragons Slot Review,"Free Spins, Stacked Symbols, Stacked Wilds",0.01 - 2.00,Medium,5 Reels / 50 Paylines,Mobile Video Slot by Aristocrat
Video Slot,Secret Admirer Slot Review,"Wilds, Scatters, Free Spins",0.09 / 90,0.01 - 1.00,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
5 Reels / 20 Paylines,Dragon Slot Slot Review,"Expanding Wilds, Free Spins, Multipliers",0.20 / 200,0.01 - 10.00,4.93%%,Mobile Video Slot by Leander Games
Video Slot,Cricket Star Slot Review,25 Free Spins / Up to 10x Multiplier,0.01 - 0.10,Low,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Miss Midas Slot Review,Up to 25 Free Spins / Extra Replicating Wilds,0.01 - 2.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Masques of San Marco Slot Review,6 Free Spins / Richer Reels & 60 Paylines,0.01 - 30.00,Low,5 Reels / 40 Paylines,Mobile Video Slot by IGT
Video Slot,MegaJackpots Siberian Storm Slot Review,96 Free Spins / in-built Multipliers,Medium,11.02 - 6.97%,Generally hits around 1 million,Mobile Video Slot by IGT
Video Slot,Prowling Panther Slot Review,"Wilds, Multipliers & Free Spins",0.01 - 50,High,5 Reels / 720 Ways to Win,Mobile Video Slot by IGT
Video Slot,Miss Kitty Slot Review,10 Free Spins / Sticky Wilds,0.01 - 2.00,Medium,5 Reels / 50 Paylines,Mobile Video Slot by Aristocrat
Video Slot,Troll’s Tale Slot Review,Up to 10 Free Spins / No Multipliers,0.01 - 50,Low,5 Reels / 20 Paylines,Mobile Video Slot
Video Slot,Tornado Farm Escape Slot Review,Unlimited / Instant Cash Wins,0.01 - 1.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Thai Paradise Slot Review,"Wild Scatters, Free Spins with Mystery Scatter",0.01 - 1.00,High,5 Reels / 15 Paylines,Mobile Video Slot by Playtech
5 Reels / 20 Paylines,Ali Baba Slot Review,"Expanding Wilds, Free Spins, Multipliers",0.20 / 200,0.01 - 10.00,4.93%,Mobile Video Slot by Leander Games
Video Slot,Plenty O’Fortune Slot Review,"Free Spins, Wilds, Stacked Symbols, Click me Bonus",0.01 - 0.40,Medium/High,5 Reels / 20 Paylines,Mobile Video Slot by Playtech
Video Slot,Big Kahuna Slot Review,2x Click Me Bonus Games,0.45 / 22.50,0.5 - 0.50,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
5 Reels / 50 Paylines,The Three Musketeers Slot Review,,Up to 24 free spins / No Extra Multipliers,0.50 / 50,Low/Medium,Mobile Video Slot by Playtech
5 Reels / 243 Paylines,Choy Sun Doa Slot Review,,0.25 / 50,0.01 - 2.00,5%,Mobile Video Slot by Aristocrat
Video Slot,Sure Win Slot Review,"Wilds, Scatters, Free Spins",0.25 / 125,0.01 - 0.25,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
Video Slot,Wild Birthday Blast Slot Review,,0.30 / 60,0.01 - 2.00,5 Reels / 30 Paylines,Mobile Video Slot
Video Slot,The Invisible Man Slot Review,"Roaming wilds, Free Spins, Click Me Feature, Free Re-spins",0.20 / 100,0.01 - 0.50,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Santa Paws Slot Review,12 Free Spins / Up to 7x Multiplier,0.01 - 0.50,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by Microgaming
Classic Slot,Jackpot 6000 Slot Review,"6,000",Medium,4.9% - 1.1%,"6,000",Mobile Classic Slot by NetEnt
Video Slot,Foxin’ Wins Again Slot Review,10 Free Spins / 2x Multipliers,0.01 - 2,Medium/High,5 Reels / 50 Paylines,Mobile Video Slot by NextGen
Video Slot,Vegas Hits Slot Review,Multiple Free Spins up to 8 / Lots of Extras,0.01 - 10.00,Low/Medium,5 Reels / 40 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Electric Sam Slot Review,"Wild, Free Spins, Scatters",0.20 / 100,0.02 - 1.00,5 Reels / 243 Paylines,Mobile Video Slot
Video Slot,Game of Thrones Slot Review,Up to 18 free spins / up to 5x Multipliers,0.01 - 0.10,Medium,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
Video Slot,Pharaohs Fortune Slot Review,Starts at 3 Free Spins / Starts at 1x Multiplier,0.01 - 30.00,Medium,5 Reels / 15 Paylines,Mobile Video Slot by IGT
Video Slot,Volcano Eruption Slot Review,5 Free Spins / Expanded Wild,0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Bubble Craze Slot Review,"Free Spins, Multipliers, Transform Bubbles",0.01 - 20.00,Low/Medium,5 Reels / All Ways Pay,Mobile Video Slot by IGT
Video Slot,Jack and the Beanstalk Slot Review,10 Free Spins + / Collection of Expanding Wilds,0.01 - 0.50,Medium/High,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Judge Dredd Slot Review,"Extra Wilds, Free Spins, Scatters",0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
6 Reels / 192 Paylines,Zeus 3 Slot Review,,"250,000",0.40 / 80,3.81%,Mobile Video Slot by WMS
5 Reels / 100 Paylines,Fire Queen Slot Review,"Wilds, Expanding wilds, Extra Wilds, Free Spins",0.50 / 100,0.01 - 2.00,4%,Mobile Video Slot by WMS
Video Slot,Merry Xmas Slot Review,No Free Spins / No Multipliers,0.01 - 0.25,Medium,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
6 Reels / 4096 Ways to Win,Raging Rhino Slot Review,,"250,000",0.40 / 60,4.09%,Mobile Video Slot by WMS
Video Slot,Buster Safe Slot Review,"150,000",Low,3.3%,Progressive - into the tens of thousands,Mobile Video Slot by mFortune
Video Slot,Crazy Cows Slot Review,Up to 50 (but generally around 15) / Up to 5x Multiplier (but generally 2x),0.01 - 1.00,Low/Medium,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Geisha Story Slot Review,Free Spins,0.01 - 1.00,Low/Medium,5 Reels / 15 Paylines,Mobile Video Slot by Playtech
5 Reels / 15 Paylines,The Lab Slot Review,,0.15 / 90,0.01 - 0.10,3.7%,Mobile Video Slot
Video Slot,Titan Storm Slot Review,"Wilds, Scatters, Free Spins",0.01 - 2.00,High,5 Reels / 243 Paylines,Mobile Video Slot by NextGen
Video Slot,Golden Ticket Slot Review,10 Free Spins / Increasing Multipliers,None - set,Low/Medium,5 Reels / All Ways Pay,Mobile Video Slot by Play'nGo
3 Reels / 40 Paylines,Mega Joker Slot Review,,"32,000",0.40 / 80,Medium/High,Mobile Classic Slot by Novomatic
Video Slot,Pearls of India Slot Review,Start with 10 / up to 20x Multiplier,0.01 - 1.00,Medium/High,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Once Upon a Time Slot Review,Starts at 5 Free Spins / No Multipliers,0.02 - 1.00,Low,5 Reels / 30 Paylines,Mobile Video Slot by BetSoft
Video Slot,Reel King Slot Review,2000,Low/Medium,6%,500x your bet,Mobile Video Slot by Novomatic
Video Slot,Sweet Party Slot Review,No Free Spins / No Multipliers,1.00 - 10.00,Medium,Progressive - 1 Million up,Mobile Video Slot by Playtech
5 Reels / 30 Paylines,Alice Adventure Slot Review,,"60,000",0.30 / 6,Low/Medium,Mobile Video Slot by iSoftBet
Video Slot,Mayan Riches Slot Review,5 Free Spins / Richer Reels,0.01 - 10.00,Medium,5 Reels / 40 Paylines,Mobile Video Slot by IGT
Video Slot,South Park Reel Chaos Slot Review,Unlimited / up to 4x Multipliers,0.01 - 0.5,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Caesar & Cleopatra Slot Review,"Click Me Feature, Free Spins & Wilds",0.10 - 1.00,Low,Progressive - into the hundreds,Mobile Video Slot by mFortune
Video Slot,Wild West Slot Review,Up to 25 Free Spins / Stacked Scatters,0.01 - 2.00,Low/Medium,5 Reels / 10 Paylines,Mobile Video Slot by NextGen
5 Reels / 30 Paylines,Ninja Chef Slot Review,,"300,000",0.30 / 300,Low/Medium,Mobile Video Slot by iSoftBet
Video Slot,King Kong Slot Review,,0.20 / 20,0.01 - 1.00,5 Reels / 20 Paylines,Mobile Video Slot by Playtech
Video Slot,Book of Ra Slot Review,10 Free Spins / Expanding Scatter Symbols,0.04 - 4.00,High,5 Reels / 9 Paylines,Mobile Video Slot by Novomatic
5 Reels / 25 Paylines,Halloween Horrors Slot Review,,0.25 / 62.50,0.01 - 0.50,3.7%,Mobile Video Slot
Video Slot,Streak of Luck Slot Review,Up to 60 Free Spins / 2x Multiplier,0.01 - 0.40,Low/Medium,650x your bet,Mobile Video Slot by Playtech
Video Slot,Mayan Treasures Slot Review,Start with 5 Free Spins / Up to 5x Multiplier,0.01 - 10.00,Low/Medium,5 Reels / 40 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Monty Python’s Spamalot Slot Review,10 Free Spins / Extra Wilds,0.01 - 1.00,Low/Medium,"Progressive starting at 50,000",Mobile Video Slot by Playtech
Classic Slot,Mystery Joker Slot Review,10 Free Spins / Scatters are active,0.10 - 20,Medium,5 Reels / 5 Paylines,Mobile Classic Slot by Play'nGo
Varies according to bet size. Between 500x to 800x you bet.,Absolute Super Reels Slot Review,"Instant cash, Extra Multiplier, Free Spins",Technically 0.05 but really 0.75 / 37.50,0.01 - 0.50,5 Reels / 5 Paylines,Mobile Classic Slot by iSoftBet
5 Reels / 30 Paylines,Illusions 2 Slot Review,,"36,000",0.20 / 4,Low/Medium,Mobile Video Slot by iSoftBet
Progressive Jackpot,Basic Instinct Slot Review,"Stacked Wilds, Free Spins & Click Me Feature",0.50 / 50,0.01 - 0.10,5 Reels / 243 Paylines,Mobile Video Slot by iSoftBet
Video Slot,Lady Robin Hood Slot Review,10 Free Spins / 2x Multiplier + Expanded Wilds,0.01 - 10.00,Low,5 Reels / 40 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Wolf Rising Slot Review,Stacked Wild & Free Spins,0.01 - 5.00,Medium/High,5 Reels / 100 Paylines,Mobile Video Slot by IGT
Video Slot,It Came From Venus! Slot Review,"15,000",Low,4.2%,Progressive Jackpot,Mobile Video Slot by BetSoft
5 Reels / 243 Paylines,Cash Spin Slot Review,"Click Me, Instant Cash, Stacked Wilds & Free Spins",0.40 / 40,0.01 - 1.00,5.85%,Mobile Video Slot by Bally Technologies
Progressive Jackpot,Jazz of New Orleans Slot Review,"Wilds, Scatters, Free Spins, Gamble Feature",0.01 - 2.00,Low/Medium,5 Reels / 5 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Wild Wolf Slot Review,5 Free Spins / Richer Reels / No Multipliers,0.01 - 20,Medium,5 Reels / 50 Paylines,Mobile Video Slot by IGT
Progressive Jackpot,Mr Toad Slot Review,No Free Spins / No Multipliers,0.01 - 2.00,Low,5 Reels / 5 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Age of Discovery Slot Review,"Wilds, Scatter and Click Me Bonus",0.25 / 125,0.01 - 0.50,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
5 Reels / 20 Paylines,It Came From the Moon! Slot Review,"Wilds, Scatters, Click Me Feature",0.20 / 10,0.01 - 2.00,4.88%,Mobile Video Slot by Realistic Games
5 Reels / 25 Paylines,Bars & Stripes Slot Review,,"47,500",0.25 / 250,Low,Mobile Video Slot by Microgaming
Video Slot,The Avengers (Marvel) Slot Review,At least 9 Free Spins / Multipliers Vary,Medium/High,3.99%,4 Progressive Marvel Jackpots,Mobile Video Slot by Playtech
Video Slot,Owl Eyes Slot Review,"Stacked Wilds, Scatters & Free Spins",0.01 - 2.00,Low,5 Reels / 50 Paylines,Mobile Video Slot by NextGen
Progressive into the tens of thousands,Monster Smash Slot Review,"Wilds, Scatters, Free Spins, Wheel of Fortune",0.01 - 2.00,Low,5 Reels / 5 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Plants Vs Zombies Slot Review,"500,000",Low/Medium,5.32%,Progressive into the hundreds of thousands,Mobile Video Slot
Video Slot,Havana Cubana Slot Review,5 Free Spins / 3x Multiplier,0.01 - 1.00,Medium,5 Reels / 40 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Black Widow Slot Review,"7 Free Spins / Up to 1,000x your total bet",0.01 - 30,Low/Medium,3 Reels / 40 Paylines,Mobile Video Slot by IGT
Video Slot,Mystic Dreams Slot Review,Up to 20 Free Spins (usually 10) / Up to 24xMultiplier (Usually 3x),0.01 - 0.20,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Dr. Jekyll & Mr. Hyde Slot Review,"Average of about 8/10 Free Spins, No Multipliers",0.02 - 1.00,Low,5 Reels / 30 Paylines,Mobile Video Slot by BetSoft
3 Progressive Jackpots,Gem Drop Slot Review,No Free Spins / No Multipliers,0.01 - 5.00,Low,5 Reels / 10 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Blood Suckers (Touch) Slot Review,10 Free Spins / 3x Multiplier,0.01 - 0.50,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by NetEnt
Video Slot,Bush Telegraph Slot Review,10 Free Spins / 3x Multiplier,0.01 - 1.00,Low,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
Video Slot,The Grand Journey Slot Review,"Stacked wilds, Expanded Wilds, Scatters and Free Spins",0.30 / 60,0.01 - 0.10,5 Reels / 30 Paylines,Mobile Video Slot by Microgaming
Video Slot,The Marvellous Mr Green Slot Review,"Indefinite (from 10 to 20 usually) / 2x, 4x and 6x Multiplier",0.01 - 0.05,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Mega Fortune Dreams (Touch) Slot Review,"200,000",Low/Medium,4.1% - 3.6%,Progressive - Into the millions,Mobile Video Slot by NetEnt
Video Slot,Merlin’s Magic Respins Slot Review,7 Free Spins / Extra Wilds & Respins,0.01 - 0.50,High,5 Reels / 50 Paylines,Mobile Video Slot by NextGen
Video Slot,Medusa II Slot Review,10 Free Spins / Guaranteed Locked Reels,0.01 - 2.00,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by NextGen
Video Slot,Cash Wizard Slot Review,15 Free Spins / 3x Multiplier,Low,6.01%,200x your bet,Mobile Video Slot by Bally Technologies
Video Slot,Piggy Riches Slot Review,9 - 26 Free Spins / 2 - 6 Multipliers,0.01 - 0.05,Medium,5 Reels / 15 Paylines,Mobile Video Slot by NetEnt
Video Slot,Fruit Zen Slot Review,No Free Spins / No Multipliers,0.01 - 0.50,Low,5 Reels / 10 Paylines,Mobile Video Slot by BetSoft
Video Slot,1Can 2Can Slot Review,10 Free Spins / Extra Wilds - No Mulipliers,0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
500x your bet,Dazzling Diamonds Slot Review,Scatters & Adjacent Pays,0.40 / 40,0.04 - 4.00,5 Reels / 10 Paylines,Mobile Video Slot by Novomatic
5 Reels / 10 Paylines,Power Stars Slot Review,,"60,000",0.30 / 30,Medium/High,Mobile Video Slot by Novomatic
Video Slot,Quick Hit Platinum Slot Review,"150,000",Low/Medium,5.94%,"5,000x your bet",Mobile Video Slot by Bally Technologies
Video Slot,Big Vegas Slot Review,5 Free Spins / 3x Multiplier,0.01 - 1.00,Medium,5 Reels / 40 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Western Belles Slot Review,5 Free Spins / Richer Reels,Low/Medium,7.15% to 3.67%,25 million coins max payout,Mobile Video Slot by IGT
"2,000x Your Bet",Riverboat Gambler Slot Review,15 Free Spins  / 3x Multiplier,0.01 - 0.50,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Realistic Games
3D Video Slot,Gypsy Rose Slot Review,"Free Spins, Stick Wilds, Expanding Wilds, Click Me Bonus",0.02 - 1.00,Low/Medium,5 Reels / 30 Paylines,Mobile 3D Video Slot by BetSoft
Video Slot,Enchanted Crystals Slot Review,12 Free Spins / Extra Wilds with 2x Multipliers,0.20 - 50.00,Low/Medium,5 Reels / 243 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Golden Tour Slot Review,No Free Spins or Multipliers,0.01 - 1.00,Low/Medium,5 Reels / 5 Paylines,Mobile Video Slot by Playtech
Video Slot,300 Shields Slot Review,Up to 20 Free Spins / Up to 300x Multiplier,High,4.7%,"300,000 coins",Mobile Video Slot by NextGen
Video Slot,Mad Hatters Slot Review,Up to 50 Free Spins / 2x Multiplier,0.01 - 0.10,Low,5 Reels / 30 Paylines,Mobile Video Slot by Microgaming
Video Slot,Leprechaun Goes Egypt Slot Review,"Click Me Feature, Free Spins, Scatters & Wilds",0.01 - 1.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Beach Babes Slot Review,"Wilds, Scatters and Free Spins",0.25 / 50,0.01 - 0.20,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
Video Slot,A While on The Nile Slot Review,5 Free Spins / Up to 10x Multipliers,0.01 - 0.50,High,5 Reels / 50 Paylines,Mobile Video Slot by NextGen
Video Slot,Wild Huskies Slot Review,Up to 50 Free Spins / 3x Multiplier,0.01 - 1.00,Low,5 Reels / 40 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Cupid & Psyche Slot Review,"Stacked Wilds, Scatters & Free Spins",0.01 - 1.00,Medium,5 Reels / 40 Paylines,Mobile Video Slot by Bally Technologies
Video Slot,Football Carnival Slot Review,"Stacked Symbols, Wilds, Scatters & Free Spins",0.50 / 50,0.01 - 1.00,5 Reels / 50 Paylines,Mobile Video Slot by Playtech
Video Slot,Pink Panther Slot Review,"Wilds, Scatters, Free Spins and Random Mini-Games",0.01 - 1.00,Low,Progressive Jackpot,Mobile Video Slot by Playtech
5 Reels / 10 Paylines,Lord of the Ocean Slot Review,"Wilds, Scatters & Free Spins",0.40 / 40,0.04 - 4,4.88%,Mobile Video Slot by Novomatic
Classic Slot,Jackpot Jester 50000 Slot Review,No Free Spins / No Multipliers,Medium,4.92%,"50,000",Mobile Classic Slot by NextGen
Video Slot,Football Star Slot Review,Up to 25 Free Spins / Up to 10x Multiplier,0.01 - 0.10,Low/Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Lights (Touch) Slot Review,Up to 30 Free Spins / Extra Wilds on the reels,0.01 - 1.00,Low,5 Reels / 9 Paylines,Mobile Video Slot by NetEnt
Video Slot,Extra Cash Slot Review,Up to 20 free spins / Extra wilds but no multipliers,0.01,Low/Medium,5 Reels / 50 Paylines,Mobile Video Slot by NextGen
Video Slot,Highway Kings Slot Review,"20,000",Medium/High,5.01%,"180,000",Mobile Video Slot by Playtech
Video Slot,Dragon Drop Slot Review,8 Free Spins / 2x Multiplier,0.01 - 2.00,Medium,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Which Witch Slot Review,Up to 100 Free Spins / No Multipliers,0.10 - 1.00,Low,Progressive Jackpot,Mobile Video Slot by mFortune
Video Slot,Golden Goddess Slot Review,7 Free Spins / No Multipliers,0.01 - 3.00,Low,5 Reels / 40 Paylines,Mobile Video Slot by IGT
Video Slot,Aliens (Touch) Slot Review,15 Free Spins / Numerous Multipliers,0.01 - 1.00,Low/Medium,5 Reels / 15 Paylines,Mobile Video Slot by NetEnt
5 Reels / 10 Paylines,Just Jewels Deluxe Slot Review,,0.40 / 40,0.04 - 4.00,95.42%,Mobile Video Slot by Novomatic
Video Slot,Fairy Queen Slot Review,10 Free Spins / No Multipliers but win on every spin,0.04 - 4.00,High,5 Reels / 10 Paylines,Mobile Video Slot by Novomatic
Video Slot,Sushi Bar Slot Review,up to 20 Free Spins / 2x Multiplier,0.02 - 1.00,Low,5 Reels / 25 Paylines,Mobile Video Slot by BetSoft
Video Slot,Chinese New Year Slot Review,"Wilds, Scatters, Free Spins & Gamble feature",0.01 - 0.25,Low/Medium,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Cluedo Classic Slot Review,15 Free Spins / 3x Multiplier,0.01 - 10.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by IGT
Video Slot,Dolphin’s Pearl Deluxe Slot Review,"Wild, Scatters & Free Spins",0.04 - 4,Medium/High,5 Reels / 10 Paylines,Mobile Video Slot by Novomatic
Video Slot,Lady of Fortune Slot Review,No Free Spins / Multipliers,0.01 - 1.00,Medium,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Madder Scientist Slot Review,"Wild, Pick Me Bonus, Reel Respins,",0.02 - 1.00,Low,5 Reels / 30 Paylines,Mobile Video Slot by BetSoft
Video Slot,High Society Slot Review,Up to 20 Free Spins / Up to 10x Multipliers,0.01 - 0.10,Medium,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
5 Reels / 5 Paylines,Sizzling Hot Deluxe Slot Review,,0.40 / 40,0.08 - 8.00,95.66%,Mobile Video Slot by Novomatic
Classic Slot,Eagle’s Wings Slot Review,Up to 60 free spins / 3x multiplier,0.01 - 0.25,Medium,5 Reels / 25 Paylines,Mobile Classic Slot by Microgaming
3D Video Slot,More Gold Diggin’ Slot Review,Free Spins with Multipliers,0.02 - 1.00,Low/Medium,5 Reels / 25 Paylines,Mobile 3D Video Slot by BetSoft
3D Video Slot,The Curious Machine Slot Review,"12,500",Low,4.5%,March 2014 (on mobile),Mobile 3D Video Slot by BetSoft
Video Slot,Big Bang (Touch) Slot Review,No Free Spins,0.01 - 0.50,Low,5 Reels / 25 Paylines,Mobile Video Slot by NetEnt
3D Video Slot,Under the Sea Slot Review,"Wilds, Free Spins & Click Me Bonus",0.02 - 1.00,Low,5 Reels / 30 Paylines,Mobile 3D Video Slot by BetSoft
5 Reels / 10 Paylines,Lucky Lady’s Charm Deluxe Slot Review,,0.40 / 40,0.04 – 4,3%,Mobile Video Slot by Novomatic
"12,800,000",Book of Ra Deluxe Slot Review,Scatter Wilds and Free Spins,0.04 - 4,Medium/High,5 Reels / 10 Paylines,Mobile Video Slot by Novomatic
Video Slot,Siberian Storm Slot Review,"Wilds, Scatters & Free Spins",0.50 / 500,Medium,5 Reels / 720 Ways to Win,Mobile Video Slot by IGT
Video Slot,Unicorn Legend Slot Review,10 to 20 Free spins / 2 to 12 x Multipliers,0.01 - 2.00,Medium,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
3D Video Slot,"Good Girl, Bad Girl Slot Review",Varying / No Multipliers,0.02 - 1.00,Medium,Progressive Jackpot,Mobile 3D Video Slot by BetSoft
Video Slot,The Twisted Circus Slot Review,13 Free Spins / 3x Multipliers,0.01 - 0.20,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Mayan Princess Slot Review,Wilds & Free Spins,0.20 / 40,0.01 - 0.20,5 Reels / 20 Paylines,Mobile Video Slot by Microgaming
Video Slot,Twin Spin (Touch) Slot Review,No Free Spins / No Multipliers,0.01 - 0.05,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by NetEnt
Video Slot,Puppy Love Slot Review,,"50,000",0.40 / 100,5 Reels / 20 Paylines,Mobile Video Slot by BetSoft
Video Slot,Easy Slider Slot Review,,"12,000",0.25 / 50,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Burger Man Slot Review,"Click Me, Free Spins, Wilds",0.90 / 9,0.10 - 1.00,Progressive Jackpot,Mobile Video Slot by mFortune
